CycleTime,ModTime,dt,TskMean,TskHead,TskNeck,TskChest,TskBack,TskPelvis,TskLShoulder,TskLArm,TskLHand,TskRShoulder,TskRArm,TskRHand,TskLThigh,TskLLeg,TskLFoot,TskRThigh,TskRLeg,TskRFoot,TcrHead,TcrNeck,TcrChest,TcrBack,TcrPelvis,TcrLShoulder,TcrLArm,TcrLHand,TcrRShoulder,TcrRArm,TcrRHand,TcrLThigh,TcrLLeg,TcrLFoot,TcrRThigh,TcrRLeg,TcrRFoot,WetMean,WetHead,WetNeck,WetChest,WetBack,WetPelvis,WetLShoulder,WetLArm,WetLHand,WetRShoulder,WetRArm,WetRHand,WetLThigh,WetLLeg,WetLFoot,WetRThigh,WetRLeg,WetRFoot,Wle,CO,Met,RES,THLskHead,THLskNeck,THLskChest,THLskBack,THLskPelvis,THLskLShoulder,THLskLArm,THLskLHand,THLskRShoulder,THLskRArm,THLskRHand,THLskLThigh,THLskLLeg,THLskLFoot,THLskRThigh,THLskRLeg,THLskRFoot
-,sec,sec,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g/sec,L/h,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
The counts of executing one cycle calculation,Simulation times,Time delta of the model,Mean skin temperature of the body,Skin temperature of the Head,Skin temperature of the Neck,Skin temperature of the Chest,Skin temperature of the Back,Skin temperature of the Pelvis,Skin temperature of the LShoulder,Skin temperature of the LArm,Skin temperature of the LHand,Skin temperature of the RShoulder,Skin temperature of the RArm,Skin temperature of the RHand,Skin temperature of the LThigh,Skin temperature of the LLeg,Skin temperature of the LFoot,Skin temperature of the RThigh,Skin temperature of the RLeg,Skin temperature of the RFoot,Core temperature of the Head,Core temperature of the Neck,Core temperature of the Chest,Core temperature of the Back,Core temperature of the Pelvis,Core temperature of the LShoulder,Core temperature of the LArm,Core temperature of the LHand,Core temperature of the RShoulder,Core temperature of the RArm,Core temperature of the RHand,Core temperature of the LThigh,Core temperature of the LLeg,Core temperature of the LFoot,Core temperature of the RThigh,Core temperature of the RLeg,Core temperature of the RFoot,Mean skin wettedness of the body,Local skin wettedness of the Head,Local skin wettedness of the Neck,Local skin wettedness of the Chest,Local skin wettedness of the Back,Local skin wettedness of the Pelvis,Local skin wettedness of the LShoulder,Local skin wettedness of the LArm,Local skin wettedness of the LHand,Local skin wettedness of the RShoulder,Local skin wettedness of the RArm,Local skin wettedness of the RHand,Local skin wettedness of the LThigh,Local skin wettedness of the LLeg,Local skin wettedness of the LFoot,Local skin wettedness of the RThigh,Local skin wettedness of the RLeg,Local skin wettedness of the RFoot,Weight loss rate by the evaporation and respiration of the whole body,Cardiac output (the sum of the whole blood flow),Total heat production of the whole body,Heat loss by the respiration,Heat loss from the skin of the Head,Heat loss from the skin of the Neck,Heat loss from the skin of the Chest,Heat loss from the skin of the Back,Heat loss from the skin of the Pelvis,Heat loss from the skin of the LShoulder,Heat loss from the skin of the LArm,Heat loss from the skin of the LHand,Heat loss from the skin of the RShoulder,Heat loss from the skin of the RArm,Heat loss from the skin of the RHand,Heat loss from the skin of the LThigh,Heat loss from the skin of the LLeg,Heat loss from the skin of the LFoot,Heat loss from the skin of the RThigh,Heat loss from the skin of the RLeg,Heat loss from the skin of the RFoot
0,0:00:00,60000,34.51768710507319,34.93607016347381,35.041742714338234,34.69389748088563,34.621233206447606,35.81886021483312,34.32354793192007,33.93178136169102,34.27821883901136,34.323547931919975,33.93178136169095,34.27821883901129,34.2518384157136,34.04634238898668,34.12005224467419,34.251838415713564,34.04634238898652,34.12005224467422,37.10647055508658,36.669563004083,36.883435036250084,36.93885162712219,37.0780810602709,36.076657612995845,35.55453984555743,34.803336513946526,36.076657612995746,35.554539845557294,34.80333651394645,36.46918961714337,36.10759616206552,34.54118673950158,36.469189617143385,36.107596162065185,34.541186739501605,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.009812080479670256,279.6603712720266,94.34669371680002,6.9239418985033545,6.998373281676092,1.874916211542439,8.056611410105909,7.063065469679777,11.775374797373084,4.735191339845976,2.840491670037393,2.391216473881572,4.735191339845895,2.8404916700373564,2.3912164738815407,9.099166772932362,4.352789530034386,2.4083478455331866,9.09916677293232,4.352789530034254,2.408347845533197
1,0:01:00,60,31.431825913892474,32.42790340722235,31.93546715562878,32.330453480620506,31.265489090936203,34.35796833085362,30.055211420926955,30.156397022413522,31.83160202434426,30.055211420926877,30.156397022413454,31.831602024344182,30.663783451373277,30.437775328661942,31.676596469684924,30.66378345137323,30.43777532866179,31.676596469684952,37.063794870544136,36.56036078530209,36.83736257375873,36.90559410305622,37.06871264505971,35.99130984503617,35.48012105838899,34.27808655864328,35.99130984503607,35.48012105838884,34.2780865586432,36.42904553999521,36.0679370635482,33.99290897746766,36.42904553999522,36.06793706354787,33.99290897746768,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.017700154163201483,282.10153299280097,90.57222217344,17.049990436996318,55.41564141276662,14.636314213806928,69.47161271803289,87.61276440174129,100.44865049053824,50.038770842329654,31.663812716786797,27.159072285805177,50.038770842329576,31.663812716786758,27.15907228580514,100.24198350690857,55.1396917858921,31.842621085413967,100.24198350690851,55.13969178589195,31.842621085413978
2,0:02:00,60,28.77510484706004,30.651779605938867,29.53655300201244,30.05808433259287,28.173815915879462,33.45276975500984,26.582925132475346,26.873055700812632,29.314407840444773,26.582925132475278,26.873055700812525,29.31440784044471,27.59845227292772,27.25604824799117,29.210299452349016,27.598452272927698,27.256048247991018,29.210299452349023,37.02047977365782,36.47851017079009,36.788503051019184,36.87057777526511,37.06364050390405,35.863698923824586,35.34630317221995,33.34761554232854,35.863698923824494,35.346303172219805,33.34761554232846,36.35970397723695,35.9972479611238,32.945846033821596,36.35970397723696,35.99724796112347,32.94584603382162,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01585785100220456,267.78763717444417,99.7263859281866,18.77323847852331,53.0254177820316,13.856668121664788,66.66970449364595,82.44269511290139,97.94277104314592,46.319254866908175,29.56975926959961,25.984684003402528,46.31925486690812,29.569759269599576,25.98468400340249,94.02877965128421,51.7204231747494,30.502972223037013,94.02877965128413,51.72042317474926,30.502972223037023
3,0:03:00,60,26.52768008202508,29.25586109349394,27.714650535373547,28.014670339742995,25.46330581951107,32.79142359920987,23.795277254240904,24.017159405377026,26.897688185901476,23.795277254240833,24.017159405376926,26.897688185901412,24.990100167994928,24.55733291344017,27.24503630604143,24.990100167994914,24.557332913440018,27.245036306041445,36.98629678999057,36.423404295286964,36.744246676262726,36.84043180049187,37.06232814264671,35.70116562545119,35.16419194274687,32.06081143832424,35.70116562545111,35.164191942746726,32.060811438324166,36.26752138837009,35.90182959398864,31.705252375894887,36.267521388370106,35.90182959398831,31.70525237589491,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.014626151002623882,269.92180724373355,109.59299398237835,20.630602347187356,51.351229683751164,13.262821593853385,64.00286721419538,77.7729886830808,96.40012573374854,43.354798240278114,27.782237172986484,24.79469095979239,43.35479824027806,27.78223717298643,24.79469095979236,88.80329954874287,48.748055324663,29.165217431434883,88.80329954874286,48.74805532466286,29.16521743143489
4,0:04:00,60,24.647884792754013,28.097231945531817,26.33996594940784,26.195825554227042,23.104918491215276,32.247769841709,21.590061591857072,21.755790138592136,24.900830575859814,21.59006159185701,21.75579013859202,24.90083057585976,22.78246348580586,22.281185972577116,25.590320951971908,22.78246348580586,22.281185972576957,25.59032095197192,36.95142369137709,36.37094393514272,36.70115214488926,36.81005613124952,37.06039328569719,35.508071812500596,34.94806474690503,30.657301939686715,35.508071812500525,34.94806474690489,30.657301939686647,36.15720766096992,35.78671326003233,30.393934395989206,36.157207660969924,35.78671326003201,30.39393439598922,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.013780887379755684,276.49786946601927,118.45502296547471,22.29885676104987,50.045338117122014,12.816158445077653,61.62542504316153,73.74393268687032,95.27772241264168,41.009181390813204,26.24953672599443,23.667942143759987,41.00918139081314,26.24953672599438,23.667942143759962,84.40943955988871,46.254204187691364,28.10865760487637,84.4094395598887,46.25420418769122,28.10865760487638
5,0:05:00,60,23.064397941008515,27.11772164927111,25.306066698511742,24.58289860068221,21.05807469256878,31.775352895124264,19.84795189309559,19.967492136468998,23.184261907393545,19.847951893095537,19.96749213646887,23.184261907393502,20.91824079331702,20.364453506875314,24.126433635057733,20.918240793317025,20.36445350687515,24.126433635057744,36.91139074532048,36.32258387952047,36.656982142950376,36.77799372459384,37.05639012895078,35.2933603424917,34.70739091774038,29.227122337899463,35.29336034249163,34.707390917740234,29.227122337899406,36.032427652603594,35.6558719347795,29.069172952337833,36.032427652603616,35.65587193477918,29.069172952337855,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01333363612023078,285.3536093373713,129.36070605464894,24.351823861970352,48.96767031129073,12.481431290668683,59.52438634416667,70.28220687708705,94.35792874375686,39.17279315578426,25.048825770359517,22.747496285774155,39.17279315578421,25.04882577035946,22.74749628577413,80.72433910115498,44.16814978496966,27.225002644494474,80.72433910115498,44.16814978496951,27.22500264449448
6,0:06:00,60,21.72183159405797,26.294875771127742,24.529412528234822,23.154792480660042,19.283186786280268,31.355366773664095,18.467440534859158,18.547003487550022,21.656444836706232,18.467440534859097,18.5470034875499,21.656444836706186,19.344417768502854,18.749963407604024,22.78661044230969,19.34441776850287,18.749963407603854,22.786610442309698,36.865696653615906,36.28076754705934,36.61096982829937,36.74429243737767,37.04950884513136,35.06391322529697,34.44921023362821,27.814959433326397,35.063913225296915,34.449210233628044,27.814959433326344,35.896161954370726,35.51248211242389,27.759909947822752,35.89616195437075,35.51248211242358,27.759909947822766,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.013212361524842954,296.72911026317155,142.93841749256194,26.907793502743928,48.06080473448517,12.230907304568793,57.672234759410856,67.30761836364663,93.56071287840139,37.732875701762644,24.106596393521727,21.96323289032229,37.7328757017626,24.10659639352166,21.96323289032227,77.63431709004907,42.42258666874383,26.447468566323312,77.63431709004907,42.42258666874369,26.447468566323312
7,0:07:00,60,20.577292009290584,25.621934183589868,23.946361096468767,21.89116860155932,17.74452693734522,30.97876982018192,17.36697201330845,17.410499430831134,20.263655379577116,17.3669720133084,17.410499430831003,20.263655379577063,18.014519955453242,17.388245210460457,21.534012567825407,18.014519955453252,17.388245210460283,21.53401256782541,36.81565918074457,36.24718040746547,36.56309429900128,36.70961297195866,37.03942611028417,34.825127712592455,34.1790101564912,26.444266443528857,34.825127712592405,34.17901015649106,26.444266443528804,35.75089128348454,35.35911906718817,26.481243507506925,35.750891283484556,35.35911906718786,26.481243507506935,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.013364044413935246,310.7101106333427,159.41679540779825,30.00980622949339,47.30183596161654,12.043376428763128,56.040374562256716,64.74871881152896,92.8535480971728,36.598089350445335,23.362388179526842,21.270234550035255,36.59808935044528,23.36238817952678,21.270234550035237,75.0399444346601,40.95948507884991,25.739079904669307,75.03994443466011,40.95948507884975,25.73907990466931
